Fecha,Presentacion,Origen,Destino,Transporte,Volumen ton
2001-09-13,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1500.0
2001-09-18,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,12575.0
2001-09-19,Caja de 20 kg.,Yucatán,Yucatán: Central de Abasto de Mérida,Torton,16.0
2001-09-19,Caja de 18 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,20.0
2001-09-20,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,1.0
2001-09-20,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,8.0
2001-09-21,Caja de 20 kg.,Yucatán,Yucatán: Central de Abasto de Mérida,Torton,20.0
2001-09-21,Caja de 18 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,23.0
2001-09-25,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1140.0
2001-09-27,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,1.0
2001-09-27,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,10.0
2001-10-02,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1275.0
2001-10-04,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,1.0
2001-10-04,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,5.0
2001-10-11,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2001-10-11,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1425.0
2001-10-18,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,2.0
2001-10-18,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,8.0
2001-10-24,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1470.0
2001-10-25,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,3.0
2001-10-25,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,6.0
2001-11-01,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,2.0
2001-11-01,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,5.0
2001-11-06,Caja de 20 kg.,Yucatán,Yucatán: Central de Abasto de Mérida,Torton,18.0
2001-11-06,Caja de 20 kg.,Yucatán,Yucatán: Central de Abasto de Mérida,Torton,7.0
2001-11-06,Caja de 18 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,26.0
2001-11-06,Caja de 18 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,29.0
2001-11-06,Caja de 20 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,10.0
2001-11-06,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1260.0
2001-11-06,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1155.0
2001-11-08,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,2.0
2001-11-08,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,6.0
2001-11-14,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1650.0
2001-11-15,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,2.0
2001-11-15,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,5.0
2001-11-22,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,3.0
2001-11-22,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,6.0
2001-11-27,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1485.0
2001-11-29,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,2.0
2001-11-29,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2001-12-05,Caja de 10 kg.,Michoacán,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",Trailer,324.0
2001-12-05,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1800.0
2001-12-06,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,3.0
2001-12-06,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,8.0
2001-12-13,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,2.0
2001-12-13,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,9.0
2001-12-17,Caja de 20 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,18.0
2001-12-17,Caja de 18 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,30.0
2001-12-20,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,3.0
2001-12-20,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,6.0
2001-12-20,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Tultitlán,Redilas,4.0
2001-12-27,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,4.0
2001-12-27,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2002-01-03,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,2.0
2002-01-03,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,6.0
2002-01-09,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1515.0
2002-01-09,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1170.0
2002-01-09,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1260.0
2002-01-10,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,3.0
2002-01-10,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,5.0
2002-01-15,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1470.0
2002-01-17,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,4.0
2002-01-17,Caja de 20 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,20.0
2002-01-17,Caja de 18 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,34.0
2002-01-17,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2002-01-22,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1305.0
2002-01-25,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,5.0
2002-01-25,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,8.0
2002-02-01,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,5.0
2002-02-01,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2002-02-06,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1440.0
2002-02-07,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,4.0
2002-02-07,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,9.0
2002-02-12,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1620.0
