producto,tipo_producto,precio,fecha_observacion,cadena_comercial,establecimiento,direccion,colonia,cp,municipio,entidad
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,60.5,2026-05-11,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL MIYANA (252),"EJERCITO NACIONAL 769, ESQ. MOLIERE",POLANCO,11529,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-11,WAL-MART,WALMART SUCURSAL LOMAS,BLVD. MANUEL AVILA CAMACHO 491,PERIODISTAS,11220,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-11,WAL-MART EXPRESS,WALMART EXPRES SUCURSAL PACHUCA,"PACHUCA NO 99, ENTRE FERNANDO MONTES DE OCA Y JUAN ESCU",CONDESA,6140,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-11,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL MICHOACAN,"MICHOACAN 38, ENTRE AMSTERDAM Y AV. MEXICO",HIPODROMO CONDESA,6170,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,69.9,2026-05-11,SUMESA,SUMESA SUCURSAL BAJIO,"TLACOTALPAN 266, ESQ. BAJIO",ROMA SUR,6760,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-11,HIPERMERCADO SORIANA,SORIANA SUCURSAL PARQUE DELTA (397),CUAUHTEMOC 462,PIEDAD NARVARTE,3000,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-11,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL RIO CHURUBUSCO,"AJUSCO 126, ENTRE LAZARO CARDENAS Y RIO CHURUBUSCO",PORTALES,3300,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-05-11,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL DEL VALLE,"HERIBERTO FRIAS 1107, ESQ. ÁNGEL URRAZA",DEL VALLE,3100,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-11,WAL-MART,WALMART SUCURSAL TLALPAN,CALZ. DE TLALPAN 1037,NATIVITAS,3500,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,69.9,2026-05-11,SUMESA,SUMESA SUCURSAL OAXACA,"OAXACA 120, ESQ. SALAMANCA",ROMA,6700,Cuauhtémoc,Ciudad de México
