producto,tipo_producto,precio,fecha_observacion,cadena_comercial,establecimiento,direccion,colonia,cp,municipio,entidad
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL SANTA MARIA COACALCO,"JOSE LOPEZ PORTILLO 2, DENTRO DE LA PLAZA COMERCIAL",SAN FRANCISCO COACALCO,55712,Coacalco,Estado de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA SUCURSAL NO. 74,BLVD. OCOTLAN NO. 20 CARR. STA. ANA OCOTLAN ESQ. VOLCAN,OCOTLAN,90100,Tlaxcala,Tlaxcala
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA SUCURSAL NO. 74,BLVD. OCOTLAN NO. 20 CARR. STA. ANA OCOTLAN ESQ. VOLCAN,OCOTLAN,90100,Tlaxcala,Tlaxcala
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL CENTRO MAYA,"CARRETERA FED. CHETUMAL CANCUN 2100 LT. 1, INT. CENTRO",EJIDO,77712,Solidaridad,Quintana Roo
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL CENTRO MAYA,"CARRETERA FED. CHETUMAL CANCUN 2100 LT. 1, INT. CENTRO",EJIDO,77712,Solidaridad,Quintana Roo
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,66.9,2026-04-29,MINISUPER,ABARREY SUCURSAL YAÑEZ,"GRAL. JOSE MARIA YAÑEZ 212, ESQ. AV. TABASCO",SAN BENITO,83190,Hermosillo,Sonora
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,66.9,2026-04-29,MINISUPER,ABARREY SUCURSAL YAÑEZ,"GRAL. JOSE MARIA YAÑEZ 212, ESQ. AV. TABASCO",SAN BENITO,83190,Hermosillo,Sonora
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-04-29,BODEGA AURRERA,BODEGA AURRERA SUCURSAL CAMINO DEL SERI,"BLVD. CAMINO DEL SERI S/N, ESQ. QUINTERO ARCE",PASEO SAN ANGEL,83287,Hermosillo,Sonora
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-04-29,BODEGA AURRERA,BODEGA AURRERA SUCURSAL CAMINO DEL SERI,"BLVD. CAMINO DEL SERI S/N, ESQ. QUINTERO ARCE",PASEO SAN ANGEL,83287,Hermosillo,Sonora
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,MEGA SORIANA,MEGA SORIANA SUCURSAL MEGA CORAZON GRAN PATIO,"PASEO TOLLOCAN 52, ESQ. 28 DE OCTUBRE",VERTICE,50090,Toluca,Estado de México
